Date,RCPR.SC5415_T-SULFUR,RCPR.SC5415_WATER
01/01/2019,0.00,23.00
02/01/2019,0.00,24.44
03/01/2019,0.01,29.30
04/01/2019,0.03,29.30
05/01/2019,0.03,29.30
06/01/2019,0.03,29.30
07/01/2019,0.06,26.33
08/01/2019,0.01,25.35
09/01/2019,0.05,26.29
10/01/2019,0.05,29.45
11/01/2019,0.05,29.45
12/01/2019,0.04,29.45
13/01/2019,0.02,29.45
14/01/2019,0.02,29.45
15/01/2019,0.04,29.45
16/01/2019,0.06,25.38
17/01/2019,0.09,11.65
18/01/2019,0.05,11.65
19/01/2019,0.08,11.65
20/01/2019,0.08,11.65
21/01/2019,0.10,11.65
22/01/2019,0.10,11.65
23/01/2019,0.10,11.65
24/01/2019,0.10,11.65
25/01/2019,0.10,11.65
26/01/2019,0.10,11.65
27/01/2019,0.10,11.65
28/01/2019,0.10,11.65
29/01/2019,0.10,11.65
30/01/2019,0.10,11.65
31/01/2019,0.10,11.65
01/02/2019,0.10,11.65
02/02/2019,0.10,11.65
03/02/2019,0.10,11.65
04/02/2019,0.10,11.65
05/02/2019,0.10,11.65
06/02/2019,0.10,11.65
07/02/2019,0.10,11.65
08/02/2019,0.10,11.65
09/02/2019,0.10,11.65
10/02/2019,0.10,11.65
11/02/2019,0.10,11.65
12/02/2019,0.10,11.65
13/02/2019,0.10,11.65
14/02/2019,0.10,11.65
15/02/2019,0.10,11.65
16/02/2019,0.10,11.65
17/02/2019,0.10,11.65
18/02/2019,0.10,11.65
19/02/2019,0.02,21.59
20/02/2019,0.05,27.21
21/02/2019,0.10,25.00
22/02/2019,0.14,25.00
23/02/2019,0.20,25.00
24/02/2019,0.14,25.00
25/02/2019,0.22,25.00
26/02/2019,0.20,25.00
27/02/2019,0.16,25.76
28/02/2019,0.16,37.30
01/03/2019,0.20,37.30
02/03/2019,0.32,37.30
03/03/2019,0.12,37.30
04/03/2019,0.13,37.30
05/03/2019,0.12,37.30
06/03/2019,0.13,37.48
07/03/2019,0.11,38.10
08/03/2019,0.12,38.10
09/03/2019,0.18,38.10
10/03/2019,0.19,38.10
11/03/2019,0.16,38.10
12/03/2019,0.14,38.10
13/03/2019,0.13,36.66
14/03/2019,0.18,31.80
15/03/2019,0.17,31.80
16/03/2019,0.14,31.80
17/03/2019,0.09,31.80
18/03/2019,0.10,31.80
19/03/2019,0.16,31.80
20/03/2019,0.13,30.08
21/03/2019,0.09,24.30
22/03/2019,0.09,24.30
23/03/2019,0.11,24.30
24/03/2019,0.15,24.30
25/03/2019,0.14,24.30
26/03/2019,0.14,24.30
27/03/2019,0.16,22.41
28/03/2019,0.21,16.05
29/03/2019,0.17,16.05
30/03/2019,0.14,16.05
31/03/2019,0.11,16.05
01/04/2019,0.12,16.05
02/04/2019,0.11,16.05
03/04/2019,0.16,16.52
04/04/2019,0.11,18.10
05/04/2019,0.14,18.10
06/04/2019,0.23,18.10
07/04/2019,0.11,18.10
08/04/2019,0.11,18.55
09/04/2019,0.14,19.30
10/04/2019,0.17,22.10
11/04/2019,0.15,31.55
12/04/2019,0.17,31.55
13/04/2019,0.24,31.55
14/04/2019,0.24,31.55
15/04/2019,0.14,31.55
16/04/2019,0.16,31.55
17/04/2019,0.25,30.65
18/04/2019,0.43,27.60
19/04/2019,0.21,27.60
20/04/2019,0.21,27.60
21/04/2019,0.21,27.60
22/04/2019,0.18,27.60
23/04/2019,0.15,27.60
24/04/2019,0.19,26.66
25/04/2019,0.29,23.50
26/04/2019,0.15,23.50
27/04/2019,0.18,23.50
28/04/2019,0.22,23.50
29/04/2019,0.18,23.50
30/04/2019,0.18,23.50
01/05/2019,0.16,23.85
02/05/2019,0.13,25.05
03/05/2019,0.11,25.05
04/05/2019,0.14,25.05
05/05/2019,0.18,25.05
06/05/2019,0.14,32.08
07/05/2019,0.10,18.70
08/05/2019,0.15,19.08
09/05/2019,0.20,20.35
10/05/2019,0.12,20.35
11/05/2019,0.13,20.35
12/05/2019,0.08,20.35
13/05/2019,0.12,20.35
14/05/2019,0.19,20.35
15/05/2019,0.15,19.42
16/05/2019,0.15,16.30
17/05/2019,0.18,16.30
18/05/2019,0.24,16.30
19/05/2019,0.11,16.30
20/05/2019,0.09,16.30
21/05/2019,0.07,16.30
22/05/2019,0.13,16.64
