Date,NTU_12K001_H2S,NTU_12K001_HCL,NTU_AI120201
01/01/2019,1.00,2.00,83.33
02/01/2019,1.00,2.00,84.85
03/01/2019,1.00,2.00,86.07
04/01/2019,1.00,2.00,86.36
05/01/2019,1.00,2.00,84.93
06/01/2019,1.65,1.35,83.78
07/01/2019,2.00,1.00,84.11
08/01/2019,2.00,1.00,84.82
09/01/2019,2.00,1.00,85.67
10/01/2019,2.00,1.00,83.42
11/01/2019,2.00,1.00,83.30
12/01/2019,2.00,1.00,83.88
13/01/2019,1.29,1.00,85.38
14/01/2019,0.90,1.00,86.82
15/01/2019,0.90,1.00,87.37
16/01/2019,0.90,1.00,88.34
17/01/2019,0.90,1.00,86.75
18/01/2019,0.90,1.00,85.58
19/01/2019,0.90,1.00,23.94
20/01/2019,0.96,4.87,0.57
21/01/2019,1.00,7.00,89.60
22/01/2019,1.00,7.00,90.88
23/01/2019,1.00,7.00,90.79
24/01/2019,1.00,7.00,90.79
25/01/2019,1.00,7.00,89.31
26/01/2019,1.00,7.00,88.36
27/01/2019,0.94,7.00,88.05
28/01/2019,0.90,7.00,87.84
29/01/2019,0.90,7.00,88.47
30/01/2019,0.90,7.00,87.82
31/01/2019,0.90,7.00,86.92
01/02/2019,0.90,7.00,84.74
02/02/2019,0.90,7.00,84.75
03/02/2019,0.90,7.00,83.29
04/02/2019,0.90,7.00,62.82
05/02/2019,0.90,7.00,88.10
06/02/2019,0.90,7.00,84.74
07/02/2019,0.90,7.00,87.78
08/02/2019,0.90,7.00,88.46
09/02/2019,0.90,7.00,87.73
10/02/2019,0.90,7.00,87.18
11/02/2019,0.90,7.00,86.84
12/02/2019,0.90,7.00,87.67
13/02/2019,0.90,7.00,86.00
14/02/2019,0.90,7.00,86.13
15/02/2019,0.90,7.00,85.28
16/02/2019,0.90,7.00,83.09
17/02/2019,0.90,7.00,85.28
18/02/2019,0.90,7.00,86.15
19/02/2019,0.90,7.00,86.26
20/02/2019,0.90,7.00,86.48
21/02/2019,0.90,7.00,86.18
22/02/2019,0.90,7.00,84.29
23/02/2019,0.90,7.00,85.80
24/02/2019,0.90,5.71,85.45
25/02/2019,0.90,5.00,85.75
26/02/2019,0.90,5.00,86.11
27/02/2019,0.90,5.00,86.04
28/02/2019,0.90,5.00,83.81
01/03/2019,0.90,5.00,83.35
02/03/2019,0.90,5.00,84.12
03/03/2019,0.90,5.00,84.76
04/03/2019,0.90,5.00,85.25
05/03/2019,0.90,5.00,86.41
06/03/2019,0.90,5.00,85.24
07/03/2019,0.90,5.00,84.54
08/03/2019,0.90,5.00,84.48
09/03/2019,0.90,5.00,87.15
10/03/2019,0.90,5.00,86.63
11/03/2019,0.90,2.93,84.27
12/03/2019,0.90,1.80,83.83
13/03/2019,0.90,1.80,83.55
14/03/2019,0.90,1.80,83.56
15/03/2019,0.90,1.80,84.44
16/03/2019,0.90,1.80,85.53
17/03/2019,0.96,1.28,85.24
18/03/2019,1.00,1.00,84.01
19/03/2019,1.00,1.00,83.91
20/03/2019,1.00,1.00,85.40
21/03/2019,1.00,1.00,86.11
22/03/2019,1.00,1.00,86.01
23/03/2019,1.00,1.00,85.08
24/03/2019,0.94,1.65,84.83
25/03/2019,0.90,2.00,87.03
26/03/2019,0.90,2.00,87.81
27/03/2019,0.90,2.00,87.64
28/03/2019,0.90,2.00,87.52
29/03/2019,0.90,2.00,87.76
30/03/2019,0.90,2.00,87.76
31/03/2019,0.90,2.00,87.90
01/04/2019,0.90,2.00,87.59
02/04/2019,0.90,2.00,86.59
03/04/2019,0.90,2.00,86.15
04/04/2019,0.90,2.00,86.42
05/04/2019,0.90,2.00,86.23
06/04/2019,0.90,2.00,86.24
07/04/2019,0.90,3.29,87.23
08/04/2019,0.90,4.00,87.93
09/04/2019,0.90,4.00,86.99
10/04/2019,0.90,4.00,84.48
11/04/2019,0.90,4.00,84.52
12/04/2019,0.90,4.00,86.25
13/04/2019,0.90,4.00,86.58
14/04/2019,0.90,6.58,86.54
15/04/2019,0.90,8.00,86.11
16/04/2019,0.90,8.00,85.45
17/04/2019,0.90,8.00,84.78
18/04/2019,0.90,8.00,81.01
19/04/2019,0.90,8.00,82.96
20/04/2019,0.90,8.00,82.65
21/04/2019,0.90,6.06,81.96
22/04/2019,0.90,5.00,83.30
23/04/2019,0.90,5.00,86.29
24/04/2019,0.90,5.00,85.69
25/04/2019,0.90,5.00,86.44
26/04/2019,0.90,5.00,86.32
27/04/2019,0.90,5.00,86.64
28/04/2019,0.90,3.06,85.30
29/04/2019,0.90,2.00,84.85
30/04/2019,0.90,2.00,84.58
01/05/2019,0.90,2.00,85.61
02/05/2019,0.90,2.00,85.28
03/05/2019,0.90,2.00,84.84
04/05/2019,0.90,2.00,85.04
05/05/2019,0.90,2.00,84.45
06/05/2019,0.90,2.00,84.32
07/05/2019,0.90,2.00,84.28
08/05/2019,0.90,2.00,84.59
09/05/2019,0.90,2.00,85.02
10/05/2019,0.90,2.00,85.64
11/05/2019,0.90,2.00,85.84
12/05/2019,0.90,3.29,86.14
13/05/2019,0.90,4.00,85.43
14/05/2019,0.90,4.00,84.28
15/05/2019,0.90,4.00,84.37
16/05/2019,0.90,4.00,85.53
17/05/2019,0.90,4.00,85.96
18/05/2019,0.90,4.00,86.25
19/05/2019,0.90,2.71,86.10
20/05/2019,0.90,2.00,85.85
21/05/2019,0.90,2.00,84.56
22/05/2019,0.90,2.00,85.75
23/05/2019,0.90,2.00,84.44
24/05/2019,0.90,2.00,85.33
25/05/2019,0.90,2.00,85.55
26/05/2019,0.90,3.94,85.79
27/05/2019,0.90,5.00,85.54
28/05/2019,0.90,5.00,85.34
29/05/2019,0.90,5.00,84.04
30/05/2019,0.90,5.00,84.87
31/05/2019,0.90,5.00,85.22
01/06/2019,0.90,5.00,85.26
02/06/2019,0.90,5.00,86.09
03/06/2019,0.90,5.00,86.37
04/06/2019,0.90,5.00,83.21
05/06/2019,0.90,5.00,82.19
06/06/2019,0.90,5.00,84.84
07/06/2019,0.90,5.00,86.11
08/06/2019,0.90,5.00,85.08
09/06/2019,0.96,3.06,85.24
10/06/2019,1.00,2.00,87.04
11/06/2019,1.00,2.00,87.07
12/06/2019,1.00,2.00,86.74
13/06/2019,1.00,2.00,87.00
14/06/2019,1.00,2.00,85.67
15/06/2019,1.00,2.00,83.49
16/06/2019,0.94,2.00,85.72
17/06/2019,0.90,2.00,85.32
18/06/2019,0.90,2.00,86.92
19/06/2019,0.90,2.00,87.15
20/06/2019,0.90,2.00,86.95
21/06/2019,0.90,2.00,86.62
22/06/2019,0.90,2.00,85.48
23/06/2019,0.90,2.00,85.39
24/06/2019,0.90,2.00,85.35
25/06/2019,0.90,2.00,88.25
26/06/2019,0.90,2.00,88.02
27/06/2019,0.90,2.00,86.98
28/06/2019,0.90,2.00,89.36
29/06/2019,0.90,2.00,88.72
30/06/2019,0.32,1.35,90.14
01/07/2019,0.00,1.00,88.15
02/07/2019,0.00,1.00,86.83
