Date,1-3-BDE,1-Butene,Acetylene,,C2H5SH,,C3-Lighter,,C5-C6 Plus,CH3SH,,cis-2-Butene,Cl,CO,CO2,,COS,CS2,Cu Strip @37.8oC,Density @15C,DES,DMS,Ethane,Ethylene,H2,H2S,i-Butane,"i-Butane,n-Butane",i-Butylene,i-Butyl Mercaptan,i-C3H7SH,i-Pentane,MA,Mercaptan,MES,Methane,N2,n-Butane,N-Butyl Mercaptan,n-Pentane,O2,"Pentane,Heavier",Propadiene,Propane,Propylene,sec-Butyl Mercaptan,SO2,Sp.Gr. @60/60F,Tert-Butyl Mercaptan,Thiophene,Total Cl,Total Cl,trans-2-Butene
1/2/2019 20:00,0.1,0.1,0.1,,,,,,,,,0.1,,0.1,0.1,,,,,,,,8.9,0.1,0.1,,28.6,50.9,0.6,,,,0.1,,,0.3,0.1,22.3,,,,2.8,0.1,36,0.2,,,,,,,,0.1
1/9/2019 20:00,0.1,0.1,0.1,,,,,,,,,0.1,,0.1,0.1,,,,,,,,5.8,0.1,0.1,,31.4,53.7,0.6,,,,0.1,,,0.1,0.1,22.3,,,,4.7,0.1,34.7,0.2,,,,,,,,0.1
1/16/2019 20:00,0.1,0.1,0.1,,,,,,,,,0.1,,0.1,0.1,,,,,,,,13.6,0.1,0.1,,27.1,41.9,0.4,,,,0.1,,,0.4,0.1,14.8,,,,0.1,0.1,43.3,0.2,,,,,,,,0.1
1/23/2019 20:00,0.1,0.1,0.1,,,,,,,,,0.1,,0.1,0.1,,,,,,,,7.6,0.1,0.1,,24.5,43.1,0.5,,,,0.1,,,0.1,0.1,18.6,,,,1.9,0.1,46.2,0.3,,,,,,,,0.1
1/30/2019 20:00,0.1,0.1,0.1,,,,,,,,,0.1,,0.1,0.1,,,,,,,,6.3,0.1,0.1,,30.5,55.1,0.6,,,,0.1,,,0.1,0.1,24.6,,,,4.1,0.1,33.2,0.2,,,,,,,,0.2
2/6/2019 20:00,0.1,0.2,0.1,,,,,,,,,0.1,,0.1,0.1,,,,,,,,6.3,0.1,0.1,,29.3,53.2,0.8,,,,0.1,,,0.1,0.1,23.9,,,,6.4,0.1,32.5,0.2,,,,,,,,0.2
2/8/2019 20:00,0.1,0.1,0.1,,,,,,,,,0.1,,0.1,0.1,,,,,,,,9.2,0.1,0.1,,21.8,41.5,0.6,,,,0.1,,,0.3,0.1,19.7,,,,7.6,0.1,40.1,0.3,,,,,,,,0.2
2/12/2019 20:00,0.1,0.2,0.1,,,,,,,,,0.2,,0.1,0.1,,,,,,,,6.5,0.1,0.1,,30,53.6,0.9,,,,0.1,,,0.1,0.1,23.6,,,,2.4,0.1,35.7,0.3,,,,,,,,0.2
2/13/2019 20:30,0.1,0.2,0.1,,,,,,,,,0.2,,0.1,0.1,,,,,,,,7.7,0.1,0.1,,27.2,48.4,0.8,,,,0.1,,,0.2,0.1,21.2,,,,2.2,0.1,39.8,0.3,,,,,,,,0.2
2/20/2019 20:00,0.1,0.2,0.1,,,,,,,,,0.1,,0.1,0.1,,,,,,,,7.5,0.1,0.1,,27.5,47.2,0.7,,,,0.1,,,0.2,0.1,19.7,,,,1.5,0.1,42.1,0.3,,,,,,,,0.2
