Date,Feed_THN+BZ(m3/h)
1/1/2019 9:32 PM,96.17
1/3/2019 7:12 AM,99.89
1/3/2019 8:39 PM,96.06
1/4/2019 12:14 PM,96.07
1/5/2019 11:22 PM,95.99
1/7/2019 10:36 AM,96.04
1/8/2019 8:48 AM,96.1
1/8/2019 6:30 PM,96.14
1/9/2019 2:14 PM,96.09
1/10/2019 12:56 PM,96.08
1/12/2019 1:11 AM,96.12
1/13/2019 5:47 AM,96.07
1/13/2019 11:25 AM,96.07
1/14/2019 12:32 PM,88.8
1/15/2019 3:57 PM,85.43
1/17/2019 9:15 AM,95.96
1/18/2019 4:21 AM,96.04
1/18/2019 10:21 PM,96.46
1/19/2019 10:19 PM,95.78
1/20/2019 4:51 PM,95.81
1/22/2019 3:52 AM,95.84
1/23/2019 8:56 AM,95.7
1/23/2019 4:23 PM,95.76
1/25/2019 3:05 AM,95.89
1/25/2019 11:40 PM,95.78
1/27/2019 6:24 AM,95.79
1/27/2019 2:12 PM,95.7
1/29/2019 12:10 AM,95.75
1/30/2019 10:17 AM,95.77
1/30/2019 11:32 AM,95.99
2/1/2019 7:38 AM,100.4
2/2/2019 4:08 AM,96.31
2/2/2019 9:58 PM,96.36
2/3/2019 12:24 PM,96.3
2/4/2019 1:09 PM,96.25
2/6/2019 10:21 AM,61.51
2/7/2019 9:38 AM,96.03
2/7/2019 5:20 PM,101.92
2/8/2019 1:22 PM,97.48
2/9/2019 2:08 PM,96.52
2/10/2019 7:04 PM,96.33
2/12/2019 10:20 AM,96.93
2/12/2019 1:20 PM,96.46
2/13/2019 12:59 PM,96.34
2/15/2019 1:56 AM,96.34
2/16/2019 1:38 AM,96.38
2/16/2019 11:08 AM,96.37
2/18/2019 7:53 AM,96.41
2/19/2019 5:20 AM,96.33
2/20/2019 3:50 AM,96.36
2/20/2019 11:22 AM,96.25
2/21/2019 2:06 PM,96.33
2/22/2019 4:23 PM,96.37
2/23/2019 11:14 AM,96.34
2/25/2019 5:45 AM,96.44
2/26/2019 12:43 AM,96.58
2/27/2019 6:21 AM,96.35
2/28/2019 10:10 AM,96.4
3/1/2019 9:21 AM,98.42
3/1/2019 8:04 PM,96.75
3/3/2019 8:29 AM,96.7
3/4/2019 6:10 AM,96.41
3/5/2019 2:41 AM,96.12
3/5/2019 4:04 PM,96.15
3/6/2019 11:37 AM,96.05
3/8/2019 2:02 AM,96.01
3/8/2019 2:34 PM,102.68
3/9/2019 11:11 AM,96.43
3/10/2019 2:59 PM,96.35
3/11/2019 6:49 PM,96.4
3/12/2019 3:59 PM,96.53
3/13/2019 9:42 PM,96.16
3/15/2019 7:32 AM,96.15
3/16/2019 3:22 AM,96.15
3/17/2019 3:29 AM,96.26
3/18/2019 12:13 AM,96.17
3/19/2019 6:07 AM,96.32
3/19/2019 8:36 PM,96.15
3/21/2019 8:00 AM,96.25
3/22/2019 10:20 AM,96.33
3/22/2019 5:30 PM,96.17
3/23/2019 1:30 PM,96.22
3/24/2019 2:33 PM,96.18
3/26/2019 6:19 AM,96.22
3/26/2019 2:43 PM,96.25
3/28/2019 8:07 AM,96.17
3/28/2019 1:48 PM,96.43
3/29/2019 11:22 PM,96.27
3/31/2019 9:55 AM,96.22
4/1/2019 7:45 AM,100.67
4/1/2019 1:30 PM,96.69
4/3/2019 12:34 AM,96.73
4/3/2019 9:29 PM,96.27
4/4/2019 9:52 PM,96.3
4/5/2019 6:39 PM,96.32
4/6/2019 4:59 PM,96.44
4/8/2019 10:27 AM,96.35
4/8/2019 11:22 AM,96.28
4/10/2019 3:35 AM,96.29
4/10/2019 9:43 PM,96.31
4/12/2019 3:37 AM,96.21
4/13/2019 2:26 AM,96.32
4/13/2019 2:37 PM,96.22
4/14/2019 4:58 PM,96.35
4/15/2019 12:37 PM,96.35
4/16/2019 8:46 PM,96.27
4/17/2019 8:26 PM,96.22
4/18/2019 12:31 PM,96.3
4/20/2019 2:21 AM,96.16
4/21/2019 9:22 AM,96.27
4/21/2019 5:30 PM,96.18
4/22/2019 8:55 PM,96.24
4/23/2019 11:57 AM,96.23
4/25/2019 1:35 AM,96
4/26/2019 9:20 AM,96.41
4/27/2019 2:15 AM,95.75
4/28/2019 1:04 AM,96.1
4/29/2019 10:43 AM,100.2
4/29/2019 12:36 PM,96.4
4/30/2019 1:44 PM,97.6
5/2/2019 12:01 AM,96.2
5/2/2019 10:45 PM,96.24
5/4/2019 3:38 AM,96.2
5/5/2019 5:29 AM,96.18
5/5/2019 8:39 PM,96.26
5/6/2019 10:44 PM,96.17
5/7/2019 2:42 PM,96.19
5/8/2019 10:49 PM,96.16
5/10/2019 8:38 AM,96.34
5/10/2019 9:08 PM,96.15
5/12/2019 2:15 AM,96.3
5/12/2019 8:00 PM,96.18
5/13/2019 11:21 PM,96.24
5/14/2019 5:13 PM,96.51
5/16/2019 10:16 AM,96.28
