id,BZ_rate(kg/h),DMDS rate,C2CL4,feed/DMDS,feed/C2Cl4,y_predict,y_test,result_pred
289,5482.79,13.7,0.56,7005.839416,171.392857,0,0,1
195,3000.73,13,0.56,7398.461538,171.75,1,0,0
198,3295.9,13,0.56,7392.307692,171.607143,1,1,1
228,4832.44,13,0.64,7389.230769,150.09375,1,1,1
155,3428.64,13,0.58,7380.769231,165.431034,1,0,0
213,1955.56,13,0.58,7393.076923,165.706897,1,0,0
102,0,13,0.58,7411.538462,166.12069,1,1,1
14,0,13,0.48,5646.153846,152.916667,0,0,1
237,4195.07,13,0.64,7393.076923,150.171875,1,1,1
131,1804.06,13,0.58,7340,164.517241,1,1,1
88,5308.62,13,0.58,7132.307692,159.862069,1,1,1
128,4457.89,13,0.58,7360,164.965517,1,1,1
107,4720.06,13,0.58,6346.153846,142.241379,1,1,1
41,1888.15,13,0.48,7366.923077,199.520833,0,0,1
47,4467.81,13,0.48,7233.076923,195.895833,0,0,1
302,5232.26,14,0.56,6482.142857,162.053571,0,0,1
124,5489.9,13,0.58,6940.769231,155.568966,1,1,1
20,4201.99,13,0.48,7373.076923,199.6875,0,1,0
169,4565.41,13,0.56,7411.538462,172.053571,0,0,1
120,6371.6,13,0.58,6676.153846,149.637931,1,1,1
263,5594.54,13,0.64,7393.846154,150.1875,1,1,1
16,0,13,0.48,7362.307692,199.395833,0,0,1
277,5252.52,13.7,0.48,7006.569343,199.979167,0,0,1
173,5159.76,13,0.56,7393.076923,171.625,0,0,1
24,5096.82,13,0.48,6587.692308,178.416667,0,0,1
