id,BZ_rate(kg/h),DMDS rate,C2CL4,feed/DMDS,feed/C2Cl4,y_predict,y_test
198,3295.9,13,0.56,7392.307692,171.607143,1,1
136,0,13,0.58,7366.153846,165.103448,1,0
263,5594.54,13,0.64,7393.846154,150.1875,1,1
39,3083.72,13,0.48,7362.307692,199.395833,0,0
271,5398.57,14,0.48,6867.142857,200.291667,0,1
131,1804.06,13,0.58,7340,164.517241,1,1
302,5232.26,14,0.56,6482.142857,162.053571,0,0
121,5669.12,13,0.58,6992.307692,156.724138,1,1
14,0,13,0.48,5646.153846,152.916667,0,0
70,5039.59,13,0.48,7411.538462,200.729167,0,0
117,0,13,0.58,6679.230769,149.706897,1,1
168,2723.8,13,0.56,7416.153846,172.160714,1,1
26,4743.79,13,0.48,7384.615385,200,0,0
237,4195.07,13,0.64,7393.076923,150.171875,1,1
277,5252.52,13.7,0.48,7006.569343,199.979167,0,0
41,1888.15,13,0.48,7366.923077,199.520833,0,0
76,5170.33,13,0.48,7103.076923,192.375,0,0
102,0,13,0.58,7411.538462,166.12069,1,1
16,0,13,0.48,7362.307692,199.395833,0,0
47,4467.81,13,0.48,7233.076923,195.895833,0,0
275,5402.45,14,0.48,6612.142857,192.854167,0,1
56,0,13,0.58,7383.846154,165.5,1,0
195,3000.73,13,0.56,7398.461538,171.75,1,0
116,4786.75,13,0.58,6706.153846,150.310345,1,1
88,5308.62,13,0.58,7132.307692,159.862069,1,1
161,4634.78,13,0.58,7403.076923,165.931034,1,1
11,0,13,0.48,6180.769231,167.395833,0,0
128,4457.89,13,0.58,7360,164.965517,1,1
303,4549.62,14,0.56,6742.142857,168.553571,0,0
213,1955.56,13,0.58,7393.076923,165.706897,1,0
238,4329.57,13,0.64,7385.384615,150.015625,1,1
6,5382.65,13,0.48,7401.538462,200.458333,0,0
155,3428.64,13,0.58,7380.769231,165.431034,1,0
107,4720.06,13,0.58,6346.153846,142.241379,1,1
104,0,13,0.58,6576.153846,147.396552,1,1
219,2154.61,13,0.64,7390.769231,150.125,1,0
289,5482.79,13.7,0.56,7005.839416,171.392857,0,0
124,5489.9,13,0.58,6940.769231,155.568966,1,1
169,4565.41,13,0.56,7411.538462,172.053571,1,0
60,0,13,0.62,7436.923077,155.935484,1,1
228,4832.44,13,0.64,7389.230769,150.09375,1,1
173,5159.76,13,0.56,7393.076923,171.625,0,0
194,2091.54,13,0.56,7392.307692,171.607143,1,0
151,5502.78,13,0.58,7372.307692,165.241379,1,1
20,4201.99,13,0.48,7373.076923,199.6875,0,1
79,4941.98,13,0.48,7124.615385,192.958333,0,1
212,4871.3,13,0.58,7390,165.637931,1,0
120,6371.6,13,0.58,6676.153846,149.637931,1,1
24,5096.82,13,0.48,6587.692308,178.416667,0,0
