Date,T-HN_API
01/01/19 20:00,59.62
03/01/19 20:00,56.88
05/01/19 20:00,56.98
08/01/19 20:00,57.20
10/01/19 20:00,57.25
12/01/19 20:00,59.68
15/01/19 20:00,53.75
15/01/19 23:45,53.46
17/01/19 20:00,54.50
19/01/19 20:00,57.72
22/01/19 20:00,53.41
23/01/19 16:00,53.55
24/01/19 20:00,53.46
26/01/19 20:00,53.82
29/01/19 20:00,54.00
31/01/19 20:00,56.00
02/02/19 20:00,58.67
05/02/19 12:00,57.25
05/02/19 20:00,57.32
07/02/19 20:00,57.10
09/02/19 20:00,54.71
12/02/19 20:00,55.38
14/02/19 20:00,55.30
16/02/19 20:00,59.98
19/02/19 20:00,59.85
21/02/19 20:00,54.24
23/02/19 20:00,55.84
26/02/19 20:00,55.26
28/02/19 20:00,57.68
02/03/19 20:00,57.89
05/03/19 20:00,57.08
07/03/19 20:00,58.24
09/03/19 20:00,55.85
12/03/19 20:00,58.72
14/03/19 20:00,58.86
16/03/19 20:00,57.03
19/03/19 20:30,59.00
21/03/19 20:00,57.84
23/03/19 20:00,57.97
26/03/19 20:00,56.75
28/03/19 20:00,57.10
30/03/19 20:00,57.13
01/04/19 12:00,56.14
02/04/19 20:30,57.69
04/04/19 20:00,56.97
06/04/19 20:00,57.57
09/04/19 20:00,56.36
11/04/19 20:00,56.57
13/04/19 20:00,57.41
16/04/19 20:30,57.54
18/04/19 20:00,58.12
20/04/19 20:00,57.37
23/04/19 20:00,57.91
24/04/19 20:00,57.98
25/04/19 20:00,56.93
26/04/19 20:00,56.92
27/04/19 20:00,57.00
28/04/19 20:00,57.54
29/04/19 20:00,58.69
30/04/19 20:00,58.66
02/05/19 20:00,57.74
03/05/19 20:00,57.50
04/05/19 20:00,86.00
05/05/19 20:00,58.01
07/05/19 20:00,58.78
09/05/19 20:00,58.78
11/05/19 20:00,56.08
14/05/19 20:00,58.87
16/05/19 20:00,57.66
17/05/19 10:00,56.43
17/05/19 20:00,56.67
18/05/19 20:00,55.44
19/05/19 20:00,55.41
20/05/19 20:00,55.37
21/05/19 20:00,59.00
23/05/19 20:00,57.85
25/05/19 20:00,56.80
30/05/19 10:30,58.17
30/05/19 13:30,58.24
30/05/19 20:00,57.72
30/05/19 22:30,57.72
01/06/19 20:00,58.25
04/06/19 20:00,56.12
06/06/19 22:00,56.39
07/06/19 01:30,56.44
07/06/19 04:00,56.32
07/06/19 08:00,56.45
08/06/19 20:00,58.40
11/06/19 20:00,58.24
13/06/19 20:00,56.06
14/06/19 06:00,56.10
14/06/19 20:00,57.30
15/06/19 07:00,58.04
16/06/19 06:00,58.18
16/06/19 10:00,58.29
18/06/19 20:00,56.13
20/06/19 20:00,55.78
22/06/19 20:00,57.18
25/06/19 20:00,56.54
27/06/19 20:00,56.18
29/06/19 20:00,57.70
30/06/19 20:00,56.72
02/07/19 20:00,57.22
04/07/19 02:00,57.26
04/07/19 04:30,57.29
04/07/19 08:00,57.28
04/07/19 20:00,58.05
06/07/19 20:00,55.87
09/07/19 20:00,55.77
11/07/19 20:00,56.30
13/07/19 20:00,56.15
16/07/19 20:00,56.03
18/07/19 20:00,55.58
20/07/19 20:00,56.05
23/07/19 20:00,56.40
26/07/19 20:00,57.47
27/07/19 20:00,57.44
30/07/19 20:00,55.14
31/07/19 07:00,55.32
01/08/19 20:30,57.60
03/08/19 20:00,57.68
06/08/19 20:00,57.80
07/08/19 02:00,57.75
10/08/19 10:00,57.14
10/08/19 12:00,56.92
10/08/19 20:00,56.33
13/08/19 20:00,58.45
15/08/19 20:00,57.44
17/08/19 20:30,55.83
20/08/19 20:00,58.83
22/08/19 20:00,57.93
24/08/19 20:00,57.85
27/08/19 20:00,56.69
28/08/19 20:00,56.45
29/08/19 20:00,55.52
31/08/19 20:00,55.24
02/09/19 20:00,55.40
03/09/19 08:00,55.07
03/09/19 20:00,55.49
04/09/19 07:00,55.36
05/09/19 15:30,56.05
05/09/19 20:00,56.22
06/09/19 07:00,56.31
06/09/19 20:00,56.51
07/09/19 07:00,56.52
07/09/19 20:00,56.52
08/09/19 06:00,56.61
09/09/19 20:00,56.57
10/09/19 20:00,56.98
11/09/19 20:00,58.52
12/09/19 20:00,58.47
13/09/19 07:00,57.53
14/09/19 20:00,57.53
15/09/19 20:00,57.57
16/09/19 20:00,57.43
17/09/19 20:00,58.39
18/09/19 20:00,58.39
19/09/19 20:00,58.48
20/09/19 20:00,57.11
21/09/19 20:00,57.05
22/09/19 20:00,57.65
23/09/19 20:00,58.59
24/09/19 20:00,58.45
26/09/19 20:00,56.95
28/09/19 20:00,57.74
29/09/19 20:00,57.44
01/10/19 20:00,57.77
03/10/19 20:00,57.40
05/10/19 20:00,57.30
