item,Date,Cu Strip,Feed_THN+BZ(m3/h),BZ_rate(kg/h),DMDS rate,"C2CL4
Value",feed/DMDS
1,2019-06-24 00:00:00,1,96.24,5868.63,13,0.48,7403.076923
2,2019-06-25 00:00:00,1,96.24,5880.12,13,0.48,7403.076923
3,2019-06-25 00:00:00,1,96.25,5880.12,13,0.48,7403.846154
4,2019-06-28 00:00:00,3,96.16,5529.62,13,0.48,7396.923077
5,2019-06-28 00:00:00,3,96.28,5529.62,13,0.48,7406.153846
6,2019-06-30 00:00:00,2,96.22,5382.65,13,0.48,7401.538462
7,2019-06-30 00:00:00,2,96.22,5382.65,13,0.48,7401.538462
8,2019-06-30 00:00:00,3,96.22,5382.65,13,0.48,7401.538462
9,2019-07-01 00:00:00,2,96.27,5373.71,13,0.48,7405.384615
10,2019-07-01 00:00:00,2,96.2,5373.71,13,0.48,7400
11,2019-07-24 00:00:00,1,96.13,3278.54,13,0.48,7394.615385
12,2019-07-24 00:00:00,1,80.09,3278.54,13,0.48,6160.769231
13,2019-07-29 00:00:00,3,90.45,4164.31,13,0.48,6957.692308
14,2019-07-31 00:00:00,1,95.85,4201.99,13,0.48,7373.076923
15,2019-07-31 00:00:00,1,95.74,4201.99,13,0.48,7364.615385
16,2019-08-02 00:00:00,2,85.6,4900.71,13,0.48,6584.615385
17,2019-08-07 00:00:00,2,85.48,4771.3,13,0.48,6575.384615
18,2019-08-12 00:00:00,2,85.64,5096.82,13,0.48,6587.692308
19,2019-08-14 00:00:00,2,85.45,4826.91,13,0.48,6573.076923
20,2019-08-14 00:00:00,2,86.17,4826.91,13,0.48,6628.461538
21,2019-08-16 00:00:00,3,96,4743.79,13,0.48,7384.615385
22,2019-08-16 00:00:00,3,96.12,4743.79,13,0.48,7393.846154
23,2019-08-19 00:00:00,2,96.31,4822.61,13,0.48,7408.461538
24,2019-08-19 00:00:00,2,96.28,4822.61,13,0.48,7406.153846
25,2019-08-21 00:00:00,3,96.01,1774.14,13,0.48,7385.384615
26,2019-08-23 00:00:00,3,95.85,4995.49,13,0.48,7373.076923
27,2019-08-28 00:00:00,2,103.38,6200.62,13,0.48,7952.307692
28,2019-08-28 00:00:00,2,108.11,6200.62,13,0.48,8316.153846
29,2019-08-30 00:00:00,2,96.1,5524.28,13,0.48,7392.307692
30,2019-09-03 00:00:00,2,82.09,5891.27,13,0.48,6314.615385
31,2019-09-03 00:00:00,2,82.66,5891.27,13,0.48,6358.461538
32,2019-09-13 00:00:00,2,95.71,3083.72,13,0.48,7362.307692
33,2019-09-16 00:00:00,2,95.78,4937.04,13,0.48,7367.692308
34,2019-09-18 00:00:00,4,95.77,1888.15,13,0.48,7366.923077
35,2019-09-20 00:00:00,2,95.9,5307.06,13,0.48,7376.923077
36,2019-09-23 00:00:00,2,95.95,5162.51,13,0.48,7380.769231
37,2019-09-25 00:00:00,2,95.99,4957.86,13,0.48,7383.846154
38,2019-09-25 00:00:00,2,95.82,4957.86,13,0.48,7370.769231
39,2019-10-14 00:00:00,2,94.03,4467.81,13,0.48,7233.076923
40,2019-10-21 00:00:00,2,96,4835.07,13,0.48,7384.615385
41,2019-10-21 00:00:00,2,110.24,4835.07,13,0.48,8480
42,2019-11-11 00:00:00,3,96.09,6204.06,13,0.64,7391.538462
43,2020-02-18 00:00:00,1,96.22,4574.55,13,0.62,7401.538462
44,2020-02-19 00:00:00,1,96.41,4679.28,13,0.62,7416.153846
45,2020-02-19 00:00:00,1,98.47,4679.28,13,0.62,7574.615385
46,2020-02-22 00:00:00,2,96.29,5564.84,13,0.48,7406.923077
47,2020-02-22 00:00:00,2,96.41,5564.84,13,0.48,7416.153846
48,2020-02-24 00:00:00,3,96.35,5039.59,13,0.48,7411.538462
49,2020-02-24 00:00:00,3,96.28,5039.59,13,0.48,7406.153846
50,2020-02-26 00:00:00,2,96.31,5452.46,13,0.48,7408.461538
51,2020-02-27 00:00:00,2,96.2,5007.17,13,0.48,7400
52,2020-02-27 00:00:00,2,96.16,5007.17,13,0.48,7396.923077
53,2020-02-28 00:00:00,2,96.12,727.1,13,0.48,7393.846154
54,2020-02-29 00:00:00,2,96.09,5253.2,13,0.48,7391.538462
55,2020-03-01 00:00:00,2,92.34,5170.33,13,0.48,7103.076923
56,2020-03-03 00:00:00,2,92.54,5476.12,13,0.48,7118.461538
57,2020-03-04 00:00:00,1,92.62,4941.98,13,0.48,7124.615385
58,2020-03-04 00:00:00,1,97.98,4941.98,13,0.48,7536.923077
59,2020-03-05 00:00:00,1,92.58,5243.2,13,0.48,7121.538462
60,2020-03-09 00:00:00,1,92.25,3836.06,13,0.48,7096.153846
61,2020-03-09 00:00:00,1,92.34,3836.06,13,0.48,7103.076923
62,2020-03-13 00:00:00,2,92.69,4940.44,13,0.58,7130
63,2020-03-14 00:00:00,2,92.63,5449.31,13,0.58,7125.384615
64,2020-03-14 00:00:00,2,92.69,5449.31,13,0.58,7130
65,2020-03-15 00:00:00,1,92.74,5488.93,13,0.58,7133.846154
66,2020-03-15 00:00:00,2,92.74,5488.93,13,0.58,7133.846154
67,2020-03-15 00:00:00,2,92.74,5488.93,13,0.58,7133.846154
68,2020-03-17 00:00:00,1,92.72,5308.62,13,0.58,7132.307692
69,2020-03-18 00:00:00,1,92.86,5082.27,13,0.58,7143.076923
70,2020-03-18 00:00:00,1,92.85,5082.27,13,0.58,7142.307692
71,2020-03-20 00:00:00,2,92.84,5220.16,13,0.58,7141.538462
72,2020-03-21 00:00:00,1,93.1,5131.36,13,0.58,7161.538462
73,2020-03-23 00:00:00,1,96.18,5141.43,13,0.58,7398.461538
74,2020-03-25 00:00:00,1,96.21,4966.2,13,0.58,7400.769231
75,2020-03-28 00:00:00,1,96.28,4857.42,13,0.58,7406.153846
76,2020-03-28 00:00:00,1,96.38,4857.42,13,0.58,7413.846154
77,2020-03-30 00:00:00,1,96.45,2978.97,13,0.58,7419.230769
